Fraunhofer Line,Wavelength (nm)
Ca K,393.3
Ca H,396.8
Hγ,434.0
"G band (Fe, Ca)",430.8
Hβ,486.1
Mg b,518.4
Na D1,589.6
Na D2,589.0
Hα,656.3
O2 A,759.4
O2 B,686.7
