Wavelength (nm),Normalized Spectral Power
300.0,0.46112762634297766
300.8008008008008,0.46519574790956847
301.6016016016016,0.4692613420399989
302.4024024024024,0.4733240710649303
303.2032032032032,0.47738360021773196
304.004004004004,0.4814395976731742
304.8048048048048,0.4854917345845103
305.6056056056056,0.4895396851189634
306.4064064064064,0.493583126491648
307.2072072072072,0.4976217389979475
308.008008008008,0.501655206044358
308.8088088088088,0.5056832141778433
309.6096096096096,0.5097054531136911
310.4104104104104,0.5137216157619385
311.2112112112112,0.5177313982523307
312.012012012012,0.5217344999579022
312.8128128128128,0.5257306235171377
313.6136136136136,0.5297194748547952
314.4144144144144,0.5337007632013613
315.2152152152152,0.5376742011112119
316.016016016016,0.5416395044794504
316.8168168168168,0.5455963925574993
317.6176176176176,0.5495445879674185
318.4184184184184,0.5534838167150103
319.2192192192192,0.5574138082017165
320.02002002002,0.5613342952353345
320.8208208208208,0.5652450140395702
321.6216216216216,0.5691457042624669
322.4224224224224,0.5730361089837078
323.2232232232232,0.5769159747208407
324.024024024024,0.5807850514344224
324.8248248248248,0.5846430925321348
325.6256256256256,0.5884898548718568
326.4264264264264,0.5923250987637596
327.2272272272272,0.5961485879713977
328.028028028028,0.5999600897118671
328.8288288288288,0.6037593746550093
329.6296296296296,0.6075462169217162
330.4304304304304,0.611320394081327
331.2312312312312,0.6150816871481759
332.032032032032,0.6188298805772624
332.8328328328328,0.6225647622591193
333.6336336336336,0.6262861235138489
334.4344344344344,0.6299937590843907
335.2352352352352,0.6336874671290009
336.036036036036,0.6373670492130064
336.8368368368368,0.6410323102998038
337.6376376376376,0.6446830587411768
338.4384384384384,0.6483191062669047
339.2392392392392,0.6519402679737052
340.04004004004,0.6555463623135306
340.8408408408408,0.6591372110812252
341.6416416416416,0.6627126394015689
342.4424424424424,0.6662724757157303
343.2432432432432,0.669816551767129
344.044044044044,0.6733447025867514
344.84484484484483,0.6768567664779094
345.64564564564563,0.6803525850004863
346.44644644644643,0.6838320029546586
347.24724724724723,0.6872948683641389
348.04804804804803,0.6907410324589319
348.84884884884883,0.6941703496576377
349.64964964964963,0.6975826775493075
350.45045045045043,0.7009778768748677
351.25125125125123,0.7043558115081424
352.05205205205203,0.707716348436462
352.85285285285283,0.7110593577409038
353.65365365365363,0.7143847125761522
354.45445445445444,0.7176922891500204
355.25525525525524,0.7209819667026092
356.05605605605604,0.7242536274851719
356.85685685685684,0.7275071567386316
357.65765765765764,0.7307424426718367
358.45845845845844,0.7339593764394972
359.25925925925924,0.737157852119878
360.0600600600601,0.7403377666922101
360.86086086086084,0.7434990200138716
361.6616616616617,0.7466415147973227
362.46246246246244,0.7497651565868274
363.2632632632633,0.7528698537349545
364.06406406406404,0.755955517378891
364.8648648648649,0.7590220614165553
365.66566566566564,0.7620694024825466
366.4664664664665,0.7650974599239144
367.26726726726724,0.7681061557757899
368.0680680680681,0.7710954147368517
368.86886886886884,0.7740651641446795
369.6696696696697,0.7770153339509651
370.47047047047045,0.7799458566966172
371.2712712712713,0.7828566674867612
372.07207207207205,0.78574770396564
372.8728728728729,0.7886189062914288
373.67367367367365,0.7914702171109745
374.4744744744745,0.7943015815344658
375.27527527527525,0.7971129471100366
376.0760760760761,0.7999042637983246
376.87687687687685,0.8026754839469828
377.6776776776777,0.8054265622651571
378.47847847847845,0.8081574557979282
379.2792792792793,0.8108681239007426
380.08008008008005,0.8135585282138222
380.8808808808809,0.8162286326365692
381.68168168168165,0.8188784033019811
382.4824824824825,0.821507808551049
383.28328328328325,0.8241168189072016
384.0840840840841,0.8267054070507422
384.88488488488485,0.829273547793331
385.6856856856857,0.8318212180524839
386.4864864864865,0.8343483968261324
387.2872872872873,0.8368550651671993
388.0880880880881,0.8393412061582511
388.8888888888889,0.8418068048861881
389.6896896896897,0.8442518484170047
390.4904904904905,0.846676325770609
391.2912912912913,0.8490802278957216
392.0920920920921,0.8514635476448447
392.8928928928929,0.8538262797493043
393.6936936936937,0.8561684207943965
394.4944944944945,0.8584899691946065
395.2952952952953,0.8607909251689252
396.0960960960961,0.8630712907162675
396.8968968968969,0.8653310695909914
397.6976976976977,0.8675702672785113
398.4984984984985,0.8697888909710455
399.2992992992993,0.8719869495434451
400.1001001001001,0.8741644535291668
400.9009009009009,0.8763214150963473
401.7017017017017,0.8784578480240098
402.5025025025025,0.8805737676783902
403.3033033033033,0.8826691909893999
404.1041041041041,0.8847441364272111
404.9049049049049,0.8867986239789846
405.7057057057057,0.8888326751257267
406.5065065065065,0.8908463128193007
407.3073073073073,0.8928395614595545
408.1081081081081,0.8948124468716241
408.9089089089089,0.8967649962833549
409.7097097097097,0.8986972383028966
410.5105105105105,0.9006092028964241
411.31131131131133,0.9025009213660379
412.11211211211213,0.904372426327791
412.91291291291293,0.9062237516898984
413.71371371371373,0.908054932631085
414.51451451451453,0.9098660055791034
415.31531531531533,0.9116570081894068
416.11611611611613,0.9134279793239923
416.91691691691693,0.9151789590303961
417.71771771771773,0.916909988520868
418.51851851851853,0.9186211101516947
419.31931931931933,0.9203123674027099
420.12012012012013,0.921983804856955
420.92092092092093,0.923635468180522
421.72172172172174,0.9252674041025559
422.52252252252254,0.9268796603954398
423.32332332332334,0.9284722858551341
424.12412412412414,0.9300453302817129
424.92492492492494,0.9315988444600444
425.72572572572574,0.9331328801406706
426.52652652652654,0.9346474900208434
427.32732732732734,0.9361427277257426
428.12812812812814,0.9376186477898649
428.92892892892894,0.9390753056385965
429.72972972972974,0.9405127575699432
430.53053053053054,0.9419310607364597
431.33133133133134,0.9433302731273288
