# Name: fisheye.87deg.50.0mm
# Description: multi element lens
# units are mm
# Focal length 
50.000

# Each row is a surface.
# They are ordered from the image to the sensor.
# Zero is the position of the first lens surface.
# Positive is towards the sensor (right).
# Negative is towards the scene (left).
# radius 	 axpos 	 N 	 aperture
208.970000	6.540000	1.713000	160.000000
34.115000	28.765000	1.000000	68.000000
171.400000	4.905000	1.620000	75.000000
39.200000	10.810000	1.000000	66.000000
48.025000	17.300000	1.669000	64.000000
-133.930000	2.160000	1.000000	64.000000
-79.340000	3.090000	1.694000	58.000000
39.115000	12.355000	1.668000	54.000000
-173.445000	1.545000	1.000000	54.000000
50000.000000	4.635000	1.518000	50.000000
50000.000000	4.265000	1.000000	50.000000
0.000000	5.000000	0.000000	50.000000
-2642.850000	10.505000	1.497000	44.500000
-56.900000	0.310000	1.000000	50.000000
330.610000	15.445000	1.487000	52.000000
-31.750000	3.090000	1.805000	52.000000
-63.745000	0.000000	1.000000	56.000000
