# Name: wide.40deg.12.5mm
# Description: multi element lens
# Focal length (mm) 
12.500
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
17.274750	0.425000	1.504000	17.875000
9.225125	2.225000	1.000000	14.500000
20.285625	0.425000	1.487000	14.500000
9.192500	7.025000	1.000000	13.500000
9.572875	5.012500	1.720000	9.750000
4.202500	2.275000	1.607000	6.000000
-33.404625	0.400000	1.000000	6.000000
0.000000	0.400000	1.000000	4.700000
-43.297500	0.487500	1.569000	5.500000
5.241250	4.287500	1.623000	5.500000
-3.935000	2.450000	1.722000	6.250000
-9.544875	8.700000	1.000000	8.750000
-6.909875	1.562500	1.642000	12.500000
-11.703000	0.000000	1.000000	15.250000
