# Name: fisheye.87deg.100.0mm
# Description: multi element lens
# units are mm
# Focal length 
100.000

# Each row is a surface.
# They are ordered from the image to the sensor.
# Zero is the position of the first lens surface.
# Positive is towards the sensor (right).
# Negative is towards the scene (left).
# radius 	 axpos 	 N 	 aperture
417.940000	13.080000	1.713000	320.000000
68.230000	57.530000	1.000000	136.000000
342.800000	9.810000	1.620000	150.000000
78.400000	21.620000	1.000000	132.000000
96.050000	34.600000	1.669000	128.000000
-267.860000	4.320000	1.000000	128.000000
-158.680000	6.180000	1.694000	116.000000
78.230000	24.710000	1.668000	108.000000
-346.890000	3.090000	1.000000	108.000000
100000.000000	9.270000	1.518000	100.000000
100000.000000	8.530000	1.000000	100.000000
0.000000	10.000000	0.000000	100.000000
-5285.700000	21.010000	1.497000	89.000000
-113.800000	0.620000	1.000000	100.000000
661.220000	30.890000	1.487000	104.000000
-63.500000	6.180000	1.805000	104.000000
-127.490000	0.000000	1.000000	112.000000
