# Name: fisheye.87deg.3.0mm
# Description: multi element lens
# units are mm
# Focal length 
3.000

# Each row is a surface.
# They are ordered from the image to the sensor.
# Zero is the position of the first lens surface.
# Positive is towards the sensor (right).
# Negative is towards the scene (left).
# radius 	 axpos 	 N 	 aperture
12.538200	0.392400	1.713000	9.600000
2.046900	1.725900	1.000000	4.080000
10.284000	0.294300	1.620000	4.500000
2.352000	0.648600	1.000000	3.960000
2.881500	1.038000	1.669000	3.840000
-8.035800	0.129600	1.000000	3.840000
-4.760400	0.185400	1.694000	3.480000
2.346900	0.741300	1.668000	3.240000
-10.406700	0.092700	1.000000	3.240000
3000.000000	0.278100	1.518000	3.000000
3000.000000	0.255900	1.000000	3.000000
0.000000	0.300000	0.000000	3.000000
-158.571000	0.630300	1.497000	2.670000
-3.414000	0.018600	1.000000	3.000000
19.836600	0.926700	1.487000	3.120000
-1.905000	0.185400	1.805000	3.120000
-3.824700	0.000000	1.000000	3.360000
