# Name: wide.40deg.6.0mm
# Description: multi element lens
# Focal length (mm) 
6.000
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
8.291880	0.204000	1.504000	8.580000
4.428060	1.068000	1.000000	6.960000
9.737100	0.204000	1.487000	6.960000
4.412400	3.372000	1.000000	6.480000
4.594980	2.406000	1.720000	4.680000
2.017200	1.092000	1.607000	2.880000
-16.034220	0.192000	1.000000	2.880000
0.000000	0.192000	1.000000	2.256000
-20.782800	0.234000	1.569000	2.640000
2.515800	2.058000	1.623000	2.640000
-1.888800	1.176000	1.722000	3.000000
-4.581540	4.176000	1.000000	4.200000
-3.316740	0.750000	1.642000	6.000000
-5.617440	0.000000	1.000000	7.320000
