# Name: wide.40deg.3.0mm
# Description: multi element lens
# Focal length (mm) 
3.000
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
4.145940	0.102000	1.504000	4.290000
2.214030	0.534000	1.000000	3.480000
4.868550	0.102000	1.487000	3.480000
2.206200	1.686000	1.000000	3.240000
2.297490	1.203000	1.720000	2.340000
1.008600	0.546000	1.607000	1.440000
-8.017110	0.096000	1.000000	1.440000
0.000000	0.096000	1.000000	1.128000
-10.391400	0.117000	1.569000	1.320000
1.257900	1.029000	1.623000	1.320000
-0.944400	0.588000	1.722000	1.500000
-2.290770	2.088000	1.000000	2.100000
-1.658370	0.375000	1.642000	3.000000
-2.808720	0.000000	1.000000	3.660000
