# Name: wide.56deg.50mm
# Description: multi element lens
# Focal length (mm) 
50.000
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
25.305000	1.540000	1.639000	43.800000
16.235000	25.460000	1.000000	32.200000
34.030000	6.580000	1.613000	18.000000
-17.560000	2.195000	1.548000	18.000000
94.395000	0.175000	1.000000	9.000000
0.000000	0.175000	0.000000	7.250000
-92.695000	2.160000	1.548000	9.000000
17.245000	6.470000	1.613000	18.000000
-33.415000	25.000000	1.000000	18.000000
-15.935000	1.510000	1.626000	31.300000
-24.720000	0.000000	1.000000	42.000000
